,Address,Sold,BR,BA,Lot,YearBuilt,Estimate,Link
0,9306 RHODE ISLAND Ave,"$279,945",4,2.0,"7,248",1986,,https://www.zillow.com/homes/9306-rhode-island-ave_rb/
1,9727 51st Pl,"$334,000",4,2.0,"5,501",1950,"$335,092",https://www.zillow.com/homes/9727-51-pl_rb/
2,9010 50th Pl,"$303,000",4,1.5,"5,597",1973,"$301,068",https://www.zillow.com/homes/9010-50th-Pl_rb/
3,9702 Narragansett Pkwy,"$325,000",4,2.5,"5,928",1964,"$330,824",https://www.zillow.com/homes/9702-Narragansett-Pkwy_rb/
4,5007 Iroquois St,"$285,000",3,2.0,"5,000",1961,"$293,851",https://www.zillow.com/homedetails/5007-Iroquois-St-College-Park-MD-20740/37563783_zpid/?fullpage=true
5,5105 Iroquois St,"$360,000",6,3.5,"7,575",1949,"$350,331",https://www.zillow.com/homedetails/5105-Iroquois-St-College-Park-MD-20740/37558718_zpid/?fullpage=true
7,9109 49th Ave,"$298,000",3,2.0,"5,030",1945,"$299,344",https://www.zillow.com/homedetails/9109-49th-Ave-College-Park-MD-20740/37565195_zpid/
8,9501 49th Ave,"$319,000",3,2.0,"7,548",1983,"$322,248",https://www.zillow.com/homedetails/9501-49th-Ave-College-Park-MD-20740/37563143_zpid/?fullpage=true
9,4818 Fox St,"$345,000",3,3.0,"5,951",1946,"$374,496",https://www.zillow.com/homedetails/4818-Fox-St-College-Park-MD-20740/37565046_zpid/
10,5017 Indian Ln,"$295,000",5,2.0,"6,573",1935,"$313,414",https://www.zillow.com/homedetails/5017-Indian-Ln-College-Park-MD-20740/37557470_zpid/?fullpage=true
11,5002 Cree Ln,"$359,000",4,2.0,"5,279",1952,"$333,680",https://www.zillow.com/homedetails/5002-Cree-Ln-College-Park-MD-20740/37560309_zpid/
12,5004 Apache St,"$315,000",3,1.5,"6,250",1934,,https://www.zillow.com/homedetails/5004-Apache-St-College-Park-MD-20740/37562361_zpid/
13,4711 Hollywood Rd,"$346,609",3,2.0,"6,385",1936,"$346,609",https://www.zillow.com/homedetails/4711-Hollywood-Rd-College-Park-MD-20740/37557117_zpid/
14,4908 Indian Ln,"$300,000",3,2.0,"11,761",1963,"$337,267",https://www.zillow.com/homedetails/4908-Indian-Ln-College-Park-MD-20740/37568062_zpid/
15,5005 Huron St,"$377,000",3,2.0,"5,000",1907,"$336,089",https://www.zillow.com/homedetails/5005-Huron-St-College-Park-MD-20740/37562980_zpid/?fullpage=true
16,9430 Rhode Island Ave,"$345,000",3,2.0,"6,098",1954,"$325,574",https://www.zillow.com/homedetails/9430-Rhode-Island-Ave-College-Park-MD-20740/37562700_zpid/
17,9606 52nd Ave,"$285,000",3,1.0,"5,227",1954,"$290,023","https://www.zillow.com/homes/9606-52nd-Ave,-College-Park,-MD-20740_rb/"
18,5106 Iroquois St,"$320,000",5,2.0,"6,886",1956,"$327,522","https://www.zillow.com/homes/5106-Iroquois-St,-College-Park,-MD-20740_rb/"
19,5009 Erie St,"$305,000",5,2.0,"5,000",1946,"$323,356",https://www.zillow.com/homes/for_sale/5009-Erie-St_rb/
20,9202 Rhode Island Ave,"$290,000",3,1.0,"9,648",1955,"$297,552",https://www.zillow.com/homes/9202-Rhode-Island-Ave_rb/
21,5008 Iroquois St,"$299,900",3,2.0,"7,500",1932,"$306,275","https://www.zillow.com/homes/5008-Iroquois-St,-College-Park,-MD-20740_rb/"
22,9400 52nd ave,"$299,000",3,1.5,"6,520",1892,"$305,375",https://www.zillow.com/homes/9400-52nd-ave_rb/
